FileName,Time,r,score
0000.txt,0.009006023406982422,NaN,2083
0001.txt,0.014935493469238281,NaN,3271
0002.txt,0.009951114654541016,NaN,2176
0003.txt,0.011973142623901367,NaN,2099
0004.txt,0.016954421997070312,NaN,3152
0005.txt,0.01697826385498047,NaN,4032
0006.txt,0.014960527420043945,NaN,3013
0007.txt,0.030918121337890625,NaN,3702
0008.txt,0.014959335327148438,NaN,2801
0009.txt,0.0199432373046875,NaN,2049
0010.txt,0.023936986923217773,NaN,2629
0011.txt,0.035903215408325195,NaN,3761
0012.txt,0.01795196533203125,NaN,2509
0013.txt,0.015956878662109375,NaN,2417
0014.txt,0.019945144653320312,NaN,2819
0015.txt,0.019947052001953125,NaN,2728
0016.txt,0.018947601318359375,NaN,2729
0017.txt,0.015957117080688477,NaN,2474
0018.txt,0.015957117080688477,NaN,3626
0019.txt,0.04088473320007324,NaN,3891
0020.txt,0.018948793411254883,NaN,2815
0021.txt,0.00897526741027832,NaN,2145
0022.txt,0.018946409225463867,NaN,2940
0023.txt,0.027927637100219727,NaN,4017
0024.txt,0.017948627471923828,NaN,2159
0025.txt,0.010973930358886719,NaN,2051
0026.txt,0.02095174789428711,NaN,3518
0027.txt,0.05186009407043457,NaN,2185
0028.txt,0.013962507247924805,NaN,2330
0029.txt,0.018948793411254883,NaN,3502
0030.txt,0.01596236228942871,NaN,3501
0031.txt,0.012971878051757812,NaN,2552
0032.txt,0.015958309173583984,NaN,3908
0033.txt,0.014958381652832031,NaN,3266
0034.txt,0.022938013076782227,NaN,3224
0035.txt,0.01395726203918457,NaN,2625
0036.txt,0.016953706741333008,NaN,3897
0037.txt,0.03090500831604004,NaN,2963
0038.txt,0.015957117080688477,NaN,2188
0039.txt,0.016954660415649414,NaN,3733
0040.txt,0.021945714950561523,NaN,3957
0041.txt,0.012965202331542969,NaN,2482
0042.txt,0.01548457145690918,NaN,3067
0043.txt,0.01595783233642578,NaN,3416
0044.txt,0.01694798469543457,NaN,2966
0045.txt,0.061834096908569336,NaN,2103
0046.txt,0.024934053421020508,NaN,3850
0047.txt,0.017952919006347656,NaN,2671
0048.txt,0.011981010437011719,NaN,2299
0049.txt,0.014959573745727539,NaN,2528
