FileName,Time,r,score
0000.txt,0.009007692337036133,NaN,2083
0001.txt,0.01000356674194336,NaN,3271
0002.txt,0.00795745849609375,NaN,2176
0003.txt,0.009973287582397461,NaN,2099
0004.txt,0.02593088150024414,NaN,3152
0005.txt,0.01595783233642578,NaN,4032
0006.txt,0.012965202331542969,NaN,3013
0007.txt,0.012490034103393555,NaN,3702
0008.txt,0.0109710693359375,NaN,2801
0009.txt,0.006979227066040039,NaN,2049
0010.txt,0.021930932998657227,NaN,2629
0011.txt,0.014959573745727539,NaN,3761
0012.txt,0.015957117080688477,NaN,2509
0013.txt,0.00897526741027832,NaN,2417
0014.txt,0.010969161987304688,NaN,2819
0015.txt,0.011966705322265625,NaN,2728
0016.txt,0.011967182159423828,NaN,2729
0017.txt,0.020946502685546875,NaN,2474
0018.txt,0.02293872833251953,NaN,3626
0019.txt,0.02094244956970215,NaN,3891
0020.txt,0.012966156005859375,NaN,2815
0021.txt,0.010971784591674805,NaN,2145
0022.txt,0.011968851089477539,NaN,2940
0023.txt,0.019945621490478516,NaN,4017
0024.txt,0.00897359848022461,NaN,2159
0025.txt,0.0209503173828125,NaN,2051
0026.txt,0.018948793411254883,NaN,3518
0027.txt,0.007973670959472656,NaN,2185
0028.txt,0.010971546173095703,NaN,2330
0029.txt,0.014959335327148438,NaN,3502
0030.txt,0.01695418357849121,NaN,3501
0031.txt,0.008974313735961914,NaN,2552
0032.txt,0.015958070755004883,NaN,3908
0033.txt,0.020943880081176758,NaN,3266
0034.txt,0.02293705940246582,NaN,3224
0035.txt,0.010969877243041992,NaN,2625
0036.txt,0.020944595336914062,NaN,3897
0037.txt,0.010968208312988281,NaN,2963
0038.txt,0.014942646026611328,NaN,2188
0039.txt,0.02094745635986328,NaN,3733
0040.txt,0.01894998550415039,NaN,3957
0041.txt,0.011966943740844727,NaN,2482
0042.txt,0.012965202331542969,NaN,3067
0043.txt,0.014486312866210938,NaN,3416
0044.txt,0.02393794059753418,NaN,2966
0045.txt,0.05385565757751465,NaN,2103
0046.txt,0.010969400405883789,NaN,3850
0047.txt,0.01495981216430664,NaN,2671
0048.txt,0.010967254638671875,NaN,2299
0049.txt,0.01595759391784668,NaN,2528
